ano,id_municipio,area,desmatado,incremento,floresta,nuvem,nao_observado,nao_floresta,hidrografia
2000,1100015,7137.0,1761.1,,3639.6,0.0,6.1,1708.0,22.2
2001,1100015,7137.0,1834.2,73.1,3566.5,0.0,6.1,1708.0,22.2
2002,1100015,7137.0,1948.9,114.7,3451.8,0.0,6.1,1708.0,22.2
2003,1100015,7137.0,2014.9,66.0,3385.8,0.0,6.1,1708.0,22.2
2004,1100015,7137.0,2092.0,77.1,3308.7,0.0,6.1,1708.0,22.2
2005,1100015,7137.0,2173.6,81.6,3227.1,0.0,6.1,1708.0,22.2
2006,1100015,7137.0,2195.0,21.4,3205.7,0.0,6.1,1708.0,22.2
2007,1100015,7137.0,2210.8,15.8,3189.6,0.0,6.4,1708.0,22.2
2008,1100015,7137.0,2237.6,26.9,2993.7,166.1,9.4,1708.0,22.2
2009,1100015,7137.0,2242.7,5.1,3155.3,0.0,8.8,1708.0,22.2
2010,1100015,7137.0,2244.5,1.8,3151.8,1.7,8.8,1708.0,22.2
2011,1100015,7137.0,2251.3,6.8,3143.1,3.8,8.6,1708.0,22.2
2012,1100015,7137.0,2256.3,5.1,3145.7,0.1,4.7,1708.0,22.2
2013,1100015,7137.0,2262.9,6.5,3083.9,55.5,4.5,1708.0,22.2
2014,1100015,7137.0,2273.1,10.2,3128.8,0.0,4.9,1708.0,22.2
2015,1100015,7137.0,2278.1,5.0,3128.7,0.0,0.0,1708.0,22.2
2016,1100015,7137.0,2294.0,15.9,3109.4,0.0,3.4,1708.0,22.2
2017,1100015,7137.0,2313.8,19.8,3093.0,0.0,0.0,1708.0,22.2
2018,1100015,7137.0,2327.9,14.0,3078.9,0.0,0.0,1708.0,22.2
2019,1100015,7137.0,2360.4,32.4,3046.4,0.0,0.0,1708.0,22.2
2000,1100023,4481.0,2661.2,,1730.0,0.0,0.0,89.6,0.2
2001,1100023,4481.0,2740.1,78.9,1651.1,0.0,0.0,89.6,0.2
2002,1100023,4481.0,2865.5,125.4,1525.7,0.0,0.0,89.6,0.2
2003,1100023,4481.0,2932.4,66.9,1458.8,0.0,0.0,89.6,0.2
2004,1100023,4481.0,3018.4,86.0,1372.8,0.0,0.0,89.6,0.2
2005,1100023,4481.0,3103.7,85.3,1287.5,0.0,0.0,89.6,0.2
2006,1100023,4481.0,3121.2,17.5,1269.8,0.2,0.0,89.6,0.2
2007,1100023,4481.0,3153.5,32.3,1237.7,0.0,0.0,89.6,0.2
2008,1100023,4481.0,3161.9,8.4,1229.3,0.0,0.0,89.6,0.2
2009,1100023,4481.0,3170.6,8.8,1220.6,0.0,0.0,89.6,0.2
2010,1100023,4481.0,3175.0,4.3,1216.2,0.0,0.0,89.6,0.2
2011,1100023,4481.0,3178.9,3.9,1207.4,4.9,0.0,89.6,0.2
2012,1100023,4481.0,3186.1,7.2,1205.0,0.1,0.0,89.6,0.2
2013,1100023,4481.0,3198.5,12.4,1189.0,3.7,0.0,89.6,0.2
2014,1100023,4481.0,3208.9,10.4,1182.3,0.0,0.0,89.6,0.2
2015,1100023,4481.0,3219.1,10.2,1172.1,0.0,0.0,89.6,0.2
